Length 8, number of unique variants is 518.
ccrcttcr	[cttclccr,cclcttcl,cttcrccl,ccrcttcr]
crccrrrc	[clllcclc,clcclllc,crrrccrc,crccrrrc]
crrrcrrr	[clllclll,clllcrrr,crrrcrrr,crrrclll]
crrccllc	[cllccrrc,crrccllc,crrccllc,cllccrrc]
cttccttc	[cttccttc,cttccttc,cttccttc,cttccttc]
cttctrct	[ctlcttct,cttctlct,ctrcttct,cttctrct]
cttctrcr	[ctlcttcr,cttctlcl,ctrcttcl,cttctrcr]
cttctrcl	[ctlcttcl,cttctlcr,ctrcttcr,cttctrcl]
ctcrrcrc	[ctcllclc,clcllctc,ctcrrcrc,crcrrctc]
ctcrrctc	[ctcllctc,ctcllctc,ctcrrctc,ctcrrctc]
ctcrrctt	[cllctctt,ctcllctt,crrctctt,ctcrrctt]
ccrcclcl	[clccrccr,ccrcclcl,crcclccl,cclccrcr]
ctcrrctr	[cllctctr,ctcllctl,crrctctl,ctcrrctr]
ctcrrctl	[cllctctl,ctcllctr,crrctctr,ctcrrctl]
ccrcclct	[clccrcct,ccrcclct,crcclcct,cclccrct]
ccrcclcr	[clccrccl,ccrcclcr,crcclccr,cclccrcl]
ccrcclcc	[cclccrcc,ccrcclcc,ccrcclcc,cclccrcc]
cctrclct	[clctrcct,cctrclct,crctlcct,cctlcrct]
cttcctrc	[ctlccttc,cttcctlc,ctrccttc,cttcctrc]
cctrclcc	[cctlcrcc,ccrctlcc,cctrclcc,cclctrcc]
crccllct	[cllccrct,crccllct,crrcclct,clccrrct]
cctrclcl	[clctrccr,cctrclcl,crctlccl,cctlcrcr]
cctrclcr	[clctrccl,cctrclcr,crctlccr,cctlcrcl]
crccllcr	[cllccrcl,crccllcr,crrcclcr,clccrrcl]
crccllcl	[cllccrcr,crccllcl,crrcclcl,clccrrcr]
ctctccrc	[ctctcclc,clcctctc,ctctccrc,crcctctc]
ctctrrct	[ctllctct,ctctllct,ctrrctct,ctctrrct]
ctctrrcr	[ctllctcr,ctctllcl,ctrrctcl,ctctrrcr]
ctctrrcl	[ctllctcl,ctctllcr,ctrrctcr,ctctrrcl]
ccrrcclc	[clccrrcc,ccrrcclc,crccllcc,ccllccrc]
ctcctrct	[ctlcctct,ctcctlct,ctrcctct,ctcctrct]
ccrrccrr	[ccllccll,ccllccrr,ccrrccrr,ccrrccll]
ctcctrcl	[ctlcctcl,ctcctlcr,ctrcctcr,ctcctrcl]
ctcctrcr	[ctlcctcr,ctcctlcl,ctrcctcl,ctcctrcr]
cttctrrc	[ctllcttc,cttctllc,ctrrcttc,cttctrrc]
crccrrct	[cllcclct,clccllct,crrccrct,crccrrct]
crccrrcr	[cllcclcr,clccllcl,crrccrcl,crccrrcr]
crccrrcl	[cllcclcl,clccllcr,crrccrcr,crccrrcl]
ctcttcrr	[cttctcll,ctcttcrr,cttctcrr,ctcttcll]
ccrccllc	[cllccrcc,ccrccllc,crrcclcc,cclccrrc]
ctttccrc	[ctttcclc,clcctttc,ctttccrc,crcctttc]
ccrrrcct	[cclllcct,cclllcct,ccrrrcct,ccrrrcct]
ctcrrcll	[cllctcll,ctcllcrr,crrctcrr,ctcrrcll]
ccrccrcr	[clcclccr,cclcclcl,crccrccl,ccrccrcr]
ccrccrcl	[clcclccl,cclcclcr,crccrccr,ccrccrcl]
ccrccrcc	[cclcclcc,cclcclcc,ccrccrcc,ccrccrcc]
ccrccrct	[clcclcct,cclcclct,crccrcct,ccrccrct]
ctcttctt	[cttctctt,ctcttctt,cttctctt,ctcttctt]
ctcttctc	[ctcttctc,ctcttctc,ctcttctc,ctcttctc]
ctcttctr	[cttctctl,ctcttctr,cttctctr,ctcttctl]
cttccrrc	[cllccttc,cttccllc,crrccttc,cttccrrc]
ccrccrrc	[cllcclcc,cclccllc,crrccrcc,ccrccrrc]
ctcrrclc	[ctcllcrc,crcllctc,ctcrrclc,clcrrctc]
ctccttcr	[cttcctcl,ctccttcr,cttcctcr,ctccttcl]
ctccttct	[cttcctct,ctccttct,cttcctct,ctccttct]
ctcrrcrr	[cllctcrr,ctcllcll,crrctcll,ctcrrcrr]
ctcctrrc	[ctllcctc,ctcctllc,ctrrcctc,ctcctrrc]
