Length 7, number of unique variants is 201.
crcrclc	[clclcrc,crclclc,crcrclc,clcrcrc]
cctcrcr	[clctccr,cctclcl,crctccl,cctcrcr]
cctcrcl	[clctccl,cctclcr,crctccr,cctcrcl]
ctrrclc	[ctllcrc,crctllc,ctrrclc,clctrrc]
cctcrcc	[cctclcc,cclctcc,cctcrcc,ccrctcc]
ctcctrc	[ctlcctc,ctcctlc,ctrcctc,ctcctrc]
cctcrct	[clctcct,cctclct,crctcct,cctcrct]
ccrctlc	[ctlcrcc,ccrctlc,ctrclcc,cclctrc]
ccrcctr	[cclcctl,cclcctr,ccrcctr,ccrcctl]
ccrctll	[clcctll,cclctrr,crcctrr,ccrctll]
ccrcctc	[ctcclcc,cclcctc,ctccrcc,ccrcctc]
ccrcctt	[cclcctt,cclcctt,ccrcctt,ccrcctt]
ctttcrr	[ctttcll,ctttcrr,ctttcrr,ctttcll]
ctttcrc	[ctttclc,clctttc,ctttcrc,crctttc]
crclctr	[clcrctl,crclctr,crclctr,clcrctl]
ctcttcr	[cttctcl,ctcttcr,cttctcr,ctcttcl]
crclctt	[clcrctt,crclctt,crclctt,clcrctt]
crclctl	[clcrctr,crclctl,crclctl,clcrctr]
crcclct	[clccrct,crcclct,crcclct,clccrct]
crcclcr	[clccrcl,crcclcr,crcclcr,clccrcl]
crcclcl	[clccrcr,crcclcl,crcclcl,clccrcr]
ctcttct	[cttctct,ctcttct,cttctct,ctcttct]
ctrrcrc	[ctllclc,clctllc,ctrrcrc,crctrrc]
ctctrrc	[ctllctc,ctctllc,ctrrctc,ctctrrc]
ctrrcrr	[ctllcll,ctllcrr,ctrrcrr,ctrrcll]
ccrccrc	[clcclcc,cclcclc,crccrcc,ccrccrc]
ccrrrcr	[clllccr,cclllcl,crrrccl,ccrrrcr]
ccrrrct	[clllcct,cclllct,crrrcct,ccrrrct]
ccrrrcc	[cclllcc,cclllcc,ccrrrcc,ccrrrcc]
ccrccrr	[cclccll,cclccrr,ccrccrr,ccrccll]
ctttctt	[ctttctt,ctttctt,ctttctt,ctttctt]
ctttctr	[ctttctl,ctttctr,ctttctr,ctttctl]
ccrrrcl	[clllccl,cclllcr,crrrccr,ccrrrcl]
crclcrc	[clcrclc,clcrclc,crclcrc,crclcrc]
ctcctcr	[ctcctcl,ctcctcr,ctcctcr,ctcctcl]
ctcctct	[ctcctct,ctcctct,ctcctct,ctcctct]
crclcrr	[clcrcll,crclcrr,crclcrr,clcrcll]
cctcrrc	[cllctcc,cctcllc,crrctcc,cctcrrc]
cctctcc	[cctctcc,cctctcc,cctctcc,cctctcc]
ctccrrc	[cllcctc,ctccllc,crrcctc,ctccrrc]
cctctct	[ctctcct,cctctct,ctctcct,cctctct]
cctcrrr	[ctcclll,cctcrrr,ctccrrr,cctclll]
ctrrctt	[ctllctt,ctllctt,ctrrctt,ctrrctt]
cctctcr	[ctctccl,cctctcr,ctctccr,cctctcl]
ctrrctr	[ctllctl,ctllctr,ctrrctr,ctrrctl]
ccrcttt	[clccttt,cclcttt,crccttt,ccrcttt]
ccrcttr	[clccttr,cclcttl,crccttl,ccrcttr]
ccrcttc	[cttclcc,cclcttc,cttcrcc,ccrcttc]
ccrcttl	[clccttl,cclcttr,crccttr,ccrcttl]
ctctrcl	[ctlctcl,ctctlcr,ctrctcr,ctctrcl]
ctctrcr	[ctlctcr,ctctlcl,ctrctcl,ctctrcr]
ctctrct	[ctlctct,ctctlct,ctrctct,ctctrct]
crclcll	[clcrcrr,crclcll,crclcll,clcrcrr]
crccrct	[clcclct,clcclct,crccrct,crccrct]
crccrcr	[clcclcl,clcclcr,crccrcr,crccrcl]
ctccttc	[cttcctc,ctccttc,cttcctc,ctccttc]
ccrctrr	[clcctrr,cclctll,crcctll,ccrctrr]
ccrctrc	[ctlclcc,cclctlc,ctrcrcc,ccrctrc]
cttccrc	[cttcclc,clccttc,cttccrc,crccttc]
cctrcrc	[clctlcc,cctlclc,crctrcc,cctrcrc]
cctrcrr	[ctlccrr,cctlcll,ctrccll,cctrcrr]
crccllc	[cllccrc,crccllc,crrcclc,clccrrc]
ctcrrrc	[clllctc,ctclllc,crrrctc,ctcrrrc]
ctctctr	[ctctctl,ctctctr,ctctctr,ctctctl]
ctctctt	[ctctctt,ctctctt,ctctctt,ctctctt]
ctctctc	[ctctctc,ctctctc,ctctctc,ctctctc]
ctrcllc	[ctlcrrc,crrctlc,ctrcllc,cllctrc]
cttrclc	[cttlcrc,crcttlc,cttrclc,clcttrc]
ccrcllc	[cllcrcc,ccrcllc,crrclcc,cclcrrc]
ccrclll	[clcclll,cclcrrr,crccrrr,ccrclll]
cctrctc	[ctctlcc,cctlctc,ctctrcc,cctrctc]
cctrctr	[ctlcctr,cctlctl,ctrcctl,cctrctr]
cctrctt	[ctlcctt,cctlctt,ctrcctt,cctrctt]
crccrrc	[cllcclc,clccllc,crrccrc,crccrrc]
ctctcrc	[ctctclc,clctctc,ctctcrc,crctctc]
ctrcrcl	[ctlclcr,clctlcl,ctrcrcl,crctrcr]
ctrcrcr	[ctlclcl,clctlcr,ctrcrcr,crctrcl]
ctrcrct	[ctlclct,clctlct,ctrcrct,crctrct]
cctrctl	[ctlcctl,cctlctr,ctrcctr,cctrctl]
ctctcrr	[ctctcll,ctctcrr,ctctcrr,ctctcll]
ccrctct	[ctclcct,cclctct,ctcrcct,ccrctct]
ccrcrrr	[clccrrr,cclclll,crcclll,ccrcrrr]
cttrcrc	[cttlclc,clcttlc,cttrcrc,crcttrc]
ccrcrrc	[cllclcc,cclcllc,crrcrcc,ccrcrrc]
ccrctcr	[ctclccr,cclctcl,ctcrccl,ccrctcr]
ccrctcl	[ctclccl,cclctcr,ctcrccr,ccrctcl]
cttrcrr	[cttlcll,cttlcrr,cttrcrr,cttrcll]
ctcrrcr	[cllctcr,ctcllcl,crrctcl,ctcrrcr]
ctcrrcl	[cllctcl,ctcllcr,crrctcr,ctcrrcl]
ctcrrct	[cllctct,ctcllct,crrctct,ctcrrct]
ctctttc	[ctttctc,ctctttc,ctttctc,ctctttc]
crrrcrr	[clllcll,clllcrr,crrrcrr,crrrcll]
cttrctr	[cttlctl,cttlctr,cttrctr,cttrctl]
cttrctt	[cttlctt,cttlctt,cttrctt,cttrctt]
cctrcll	[ctlccll,cctlcrr,ctrccrr,cctrcll]
cctrclc	[clctrcc,cctrclc,crctlcc,cctlcrc]
ctrclcl	[ctlcrcr,crctlcl,ctrclcl,clctrcr]
ctrclcr	[ctlcrcl,crctlcr,ctrclcr,clctrcl]
ctrclct	[ctlcrct,crctlct,ctrclct,clctrct]
ctcttrc	[cttlctc,ctcttlc,cttrctc,ctcttrc]
crrrctt	[clllctt,clllctt,crrrctt,crrrctt]
ccrcrcc	[cclclcc,cclclcc,ccrcrcc,ccrcrcc]
crrrctr	[clllctl,clllctr,crrrctr,crrrctl]
ccrcrcl	[clclccl,cclclcr,crcrccr,ccrcrcl]
ccrcrct	[clclcct,cclclct,crcrcct,ccrcrct]
ccrcrcr	[clclccr,cclclcl,crcrccl,ccrcrcr]
